Fecha y hora;Nombre;Epicentro;Zonas afectadas;Ms;Mw;MM;Tsunami;Muertos
1 de septiembre de 1420 (6:00-10:00);Caldera de 1420;S.D.;Zona norte de Chile;8,8-9,415_16_;9,1 Solo MS;;T;S.D.
11 de septiembre de 1552 (17:16);Santiago de 1552;S.D.;Región Metropolitana;7,017_;7,0 Solo MS;;;12
8 de febrero de 1570 (09:00);Concepción de 1570;-36.800, -73.000;VI, VII, XVI, VIII regiones y R.M.;8,312_;8,3 Solo MS;XI;T;2000
17 de marzo de 1575 (10:00);Santiago de 1575;-33.400, -70.600;Región Metropolitana;7,312_;7,3 Solo MS;X;T;35
16 de diciembre de 1575 (14:30);Valdivia de 1575;-39.800, -73.200;X y XIV regiones;8,512_;8,5 Solo MS;X;;200
24 de noviembre de 1604 (12:30);Arica de 1604;-18.500, -70.400;XV y I regionesn 6_;8,512_;8,5 Solo MS;;T;120
16 de septiembre de 1615 (23:30);Arica de 1615;-18.500, -70.350;XV y I regionesn 6_;8,812_;8,8 Solo MS;X;;0
13 de mayo de 1647 (22:30);Santiago de 1647;-35.000, -72.000;Región Metropolitana;8,512_;8,5 Solo MS;XI;;600
15 de marzo de 1657 (19:30);Concepción de 1657;-36.830, -73.030;VIII, IX, XIV y X regiones;8,012_;8,0 Solo MS;XI;;34
10 de marzo de 1681;Arica de 1681;-18.500, -70.350;XV y I regionesn 6_;7,312_;7,3 Solo MS;X;;133
8 de julio de 1730 (04:45);Valparaíso de 1730;-33.050, -71.630;IV, V, VI, VII regiones y R.M.;8,712_;8,713_;XI;T;3000
24 de diciembre de 1737;Valdivia de 1737;-39.800, -73.200;VIII, IX, XIV y X regiones;7,712_;7,7 Solo MS;XI;;212
25 de mayo de 1751 (01:00);Concepción de 1751;-36.830, -73.030;VIII región;8,512_;8,5 Solo MS;XI;T;65
30 de marzo de 1796 (06:45);Copiapó de 1796;-27.350, -70.350;III, IV y V regiones;7,712_;7,7 Solo MS;XI;;12
11 de abril de 1819 (10:00);Copiapó de 1819;-27.350, -70.350;III, IV y V regiones;8,312_;8,3 Solo MS;X;;133
19 de noviembre de 1822 (22:30);Copiapó de 1822;-33.050, -71.630;III, IV y V regiones;8,512_;8,5 Solo MS;XI;;76
8 de octubre de 1831 (06:00);Arica de 1831;-18.500, -71.000;XV y I regionesn 6_;7,812_;7,8 Solo MS;VII;;0
18 de septiembre de 1833 (05:45);Arica de 1833;-18.500, -70.400;XV y I regionesn 6_;7,712_;7,7 Solo MS;;;18
20 de febrero de 1835 (11:30);Concepción de 1835;-36.830, -73.030;VIII región;8,512_;8,213_;XI;;30-120
7 de noviembre de 1837 (08:00);Valdivia de 1837;-39.800, -73.200;VIII, IX, XIV y X regiones;8,012_;8,0 Solo MS;X;T;12
17 de diciembre de 1849 (06:00);Coquimbo de 1849;-29.950, -71.370;III, IV y V regiones;7,512_;7,5 Solo MS;VIII;;23
6 de diciembre de 1850 (06:52);Santiago de 1850;-33.810, -70.220;V región y Metropolitana;7,312_;7,3 Solo MS;;T;105
2 de abril de 1851 (06:48);Copiapó de 1851;-33.320, -71.420;II, III y IV regiones;7,112_;7,1 Solo MS;VIII;;43
26 de mayo de 1851;Huasco de 1851;-33.863, -71.890;II, III y IV regiones;6,5 ¿?;6,5 Solo MS;X;;3
5 de octubre de 1859 (08:00);Copiapó de 1859;-27.350, -70.350;III y IV regiones;7,612_;7,6 Solo MS;X;;44
13 de agosto de 1868 (16:45);Arica de 1868;-18.500, -70.350;I y XV regionesn 6_;8,512_;9,013_;XI;T;500
24 de agosto de 1869 (13:30);Iquique de 1869;-19.600, -70.230;I y XV regiones;7,518_;7,5 Solo MS;VIII;;0
5 de octubre de 1871 (05:00);Iquique de 1871;-20.200, -70.200;I y XV regiones;7,319_;7,3 Solo MS;X;;ene-50
7 de julio de 1873;La Ligua de 1873;-32.765, -73.726;V, VI regiones y R.M.;8,020_;8,0 Solo MS;;;106
11 de noviembre de 1876;Illapel de 1876;-32.510, -71.212;III, IV y V regiones;7,5 ¿?;7,5 Solo MS;;;20
9 de mayo de 1877 (21:16);Iquique de 1877;-19.600, -70.230;I y XV regionesn 6_;8,512_;8,313_;XI;T;2385
23 de enero de 1878 (08:00);Iquique de 1878;-20.000, -70.300;I, II y XV regiones;7,921_;7,9 Solo MS;VIII;;ene-50
15 de agosto de 1880 (08:48);Illapel de 1880;-31.620, -71.180;IV y V regiones;7,712_;7,7 Solo MS;X;;25
31 de julio de 1893;Punta Arenas de 1893;-52.560, -69.000;XII región;6,6 ¿?;6,6 Solo MS;;;16
16 de agosto de 1906 (19:48);Valparaíso de 1906;-33.000, -72.000;V región;7,912_;8,213_;XI;T;3000
15 de septiembre de 1911 (08:10);Iquique de 1911;-20.000, -72.000;I y XV regiones;7,322_;7,3 Solo MS;;;0
29 de enero de 1914 (00:35);Concepción de 1914;-36.292, -75.057;VIII región;7,6 Solo MW;7,623_;V24_;;0
4 de diciembre de 1918 (07:47);Copiapó de 1918;-26.000, -71.000;II, III y IV regiones;8,212_;8,2 Solo MS;VIII;;6
10 de noviembre de 1922 (23:53);Vallenar de 1922;-28.500, -70.000;III región;8,412_;8,513_;XI;T;800
21 de noviembre de 1927 (19:17);Aysén de 1927;-44.500, -73.000;XI región;7,112_;7,1 Solo MS;VII;;0
1 de diciembre de 1928 (00:06);Talca de 1928;-35.000, -72.000;VII región;8,312_;7,613_;IX;;300
18 de abril de 1931 (05:02);San Antonio de 1931;-33.778, -71.478;V región y R.M.;7,2 Solo MW;7,225_;VIII26_;;0
23 de febrero de 1933 (04:09);Iquique de 1933;-20.000, -71.000;I, II y XV regiones;7,627_;7,6 Solo MS;VIII;;0
4 de diciembre de 1934 (17:45 UTC);Iquique de 1934;-19.500, -69.500;I y XV regiones;6,928_;6,9 Solo MS;VII;;0
18 de abril de 1936 (07:12);Taltal de 1936;-24.720, -70.110;II y III regiones;7,5 Solo MW;7,529_;VIII30_;;0
24 de enero de 1939 (23:32);Chillán de 1939;-36.200, -72.200;VII, XVI y VIII regiones;8,312_;7,813_;X;;5648n 2_
18 de abril de 1939 (02:22);Copiapó de 1939;-27.182, -70.842;III región;7,4 Solo MW;7,431_;VIII32_;;0
4 de octubre de 1940 (07:55 UTC);Iquique de 1940;-19.860, -70.343;I y XV regiones;7,333_;6,934_;VII;;0
6 de septiembre de 1942;Caldera de 1942;-36.200, -29.208;II y III regiones;7,3 ¿?;7,3 Solo MS;;T;5
14 de marzo de 1943 (14:37);Iquique de 1943;-20.000, -69.500;I y XV regiones;7,235_;7,2 Solo MS;;T;0
6 de abril de 1943 (12:07);Ovalle de 1943;-30.750, -72.000;IV región;8,312_;8,213_;VII;;12
1 de diciembre de 1943 (06:34);Pica de 1943;-21.000, -69.000;I y XV regiones;7,036_;7,0 Solo MS;;;0
